"lon" "lat" "MCS" "eq.id" "Mw" "LatEp" "LonEp" "dist"
12.243 44.139 7 "41" 5.17 44.068 12.078 15.3591572810015
10.913 43.932 6 "42" 4.83 43.932 10.913 0
10.214 45.544 7 "43" 5.03 45.55 10.22 0.814508193016261
8.898 44.419 6 "46" 4.63 44.419 8.898 0
10.214 45.544 8 "47" 6.05 45.48 10.68 37.0018948315838
10.734 45.506 8 "47" 6.05 45.48 10.68 5.10639070648141
10.916 45.555 8 "47" 6.05 45.48 10.68 20.190359758767
10.024 45.136 7 "47" 6.05 45.48 10.68 63.9913953831869
10.925 44.647 7 "47" 6.05 45.48 10.68 94.6028266218775
11.34 44.498 7 "47" 6.05 45.48 10.68 120.900393331298
9.764 45.296 7 "47" 6.05 45.48 10.68 74.4006467541739
11.618 44.836 7 "47" 6.05 45.48 10.68 102.649736519677
12.244 45.669 7 "47" 6.05 45.48 10.68 123.531578523517
9.501 45.314 6 "47" 6.05 45.48 10.68 93.8877084625165
9.19 45.464 6 "47" 6.05 45.48 10.68 116.196647066876
11.876 45.407 6 "47" 6.05 45.48 10.68 93.6583378495506
12.335 45.438 6 "47" 6.05 45.48 10.68 129.162712210949
10.994 45.438 6 "47" 6.05 45.48 10.68 24.9315056084983
9.67 45.694 6 "47" 6.05 45.48 10.68 82.117790236951
8.898 44.419 6 "47" 6.05 45.48 10.68 183.253710792426
10.329 44.801 6 "47" 6.05 45.48 10.68 80.3637361846027
10.631 44.697 6 "47" 6.05 45.48 10.68 87.1505598298552
10.775 45.152 5 "47" 6.05 45.48 10.68 37.2206935296787
8.864 44.897 5 "47" 6.05 45.48 10.68 156.379810309294
16.147 41.779 9 "48" 6 41.85 16.03 12.5038691562846
16.004 41.852 9 "48" 6 41.85 16.03 2.16495827409356
15.958 41.895 9 "48" 6 41.85 16.03 7.78317395333891
15.89 41.609 8 "48" 6 41.85 16.03 29.2079466689446
16.18 41.882 7 "48" 6 41.85 16.03 12.9207649678471
15.647 38.108 6 "49" 4.63 38.108 15.647 0
13.83 41.488 8 "50" 5.35 41.48 13.83 0.88955941315698
11.618 44.836 7 "51" 5.17 44.836 11.618 0
12.736 42.732 8 "52" 5.37 42.732 12.736 0
10.925 44.647 8 "53" 5.03 44.65 10.93 0.517425336164809
10.631 44.697 5 "53" 5.03 44.65 10.93 24.213669938979
12.244 45.669 8 "55" 5.37 45.73 12.08 14.4299404631921
11.914 45.801 8 "55" 5.37 45.73 12.08 15.1040494066572
11.876 45.407 5 "55" 5.37 45.73 12.08 39.2698971644662
13.507 43.603 8 "56" 5.6 43.558 13.564 6.79105250091126
13.622 43.512 8 "56" 5.6 43.558 13.564 6.9298409483776
12.141 43.57 8 "57" 5.37 43.57 12.141 0
15.805 40.638 9 "58" 5.84 40.63 15.8 0.984547163129056
8.066 44.834 6 "59" 5.11 45.08 9.55 119.928727861626
8.898 44.419 5 "59" 5.11 45.08 9.55 89.7392671892743
12.736 42.732 8 "60" 5.57 42.732 12.736 0
13.431 46.093 8 "61" 5.37 45.93 13.4 18.2821965342938
13.37 45.768 8 "61" 5.37 45.93 13.4 18.1628206685859
12.335 45.438 6 "61" 5.37 45.93 13.4 99.1828256522956
11.844 44.015 8 "62" 5.55 44.125 11.919 13.6202587580464
11.912 43.996 8 "62" 5.55 44.125 11.919 14.3550468097461
11.881 44.288 7 "62" 5.55 44.125 11.919 18.3761160123829
12.049 44.217 7 "62" 5.55 44.125 11.919 14.5654655372855
12.198 44.417 5 "62" 5.55 44.125 11.919 39.3407631774909
12.955 43.073 10 "63" 6.33 43.093 12.872 7.09805172706085
12.788 43.113 9 "63" 6.33 43.093 12.872 7.17310295192098
13.068 43.135 9 "63" 6.33 43.093 12.872 16.5809533659944
13.057 43.209 9 "63" 6.33 43.093 12.872 19.789005614349
12.905 43.335 8 "63" 6.33 43.093 12.872 27.0417330282687
12.94 43.499 8 "63" 6.33 43.093 12.872 45.479323230612
12.917 42.819 8 "63" 6.33 43.093 12.872 30.6867119605556
13.216 43.375 8 "63" 6.33 43.093 12.872 41.9510845504456
12.704 42.955 8 "63" 6.33 43.093 12.872 20.5420635904572
13.009 43.256 8 "63" 6.33 43.093 12.872 21.2586168832475
13.177 43.229 8 "63" 6.33 43.093 12.872 28.9944043581754
12.668 42.992 8 "63" 6.33 43.093 12.872 20.024247553676
12.482 41.895 4 "63" 6.33 43.093 12.872 136.995006943128
12.242 45.493 7 "65" 5.18 45.47 12.28 3.91378577278879
12.335 45.438 7 "65" 5.18 45.47 12.28 5.57366309262823
11.618 44.836 7 "66" 5.03 44.836 11.618 0
11.678 42.88 7 "67" 5.03 42.88 11.678 0
10.913 43.932 8 "69" 5.57 43.932 10.913 0
14.469 41.484 9 "70" 5.9 41.3 14.55 21.546740404473
14.627 41.124 9 "70" 5.9 41.3 14.55 20.6029929404418
14.424 41.824 8 "70" 5.9 41.3 14.55 59.2016801333114
14.231 41.594 8 "70" 5.9 41.3 14.55 42.1383600053818
14.26 40.855 7 "70" 5.9 41.3 14.55 55.1300057953298
13.934 41.236 7 "70" 5.9 41.3 14.55 51.973287431153
9.538 46.851 9 "71" 5.79 46.866 9.533 1.71070293945552
9.67 45.694 7 "71" 5.79 46.866 9.533 130.744997510836
12.888 42.501 10 "72" 5.93 42.55 12.83 7.23032470007463
12.867 42.404 8 "72" 5.93 42.55 12.83 16.5156114722662
12.736 42.732 8 "72" 5.93 42.55 12.83 21.6488763125682
12.004 42.952 7 "72" 5.93 42.55 12.83 80.9119565129319
12.141 43.57 7 "72" 5.93 42.55 12.83 126.47885634835
9.693 45.052 6 "74" 4.63 45.052 9.693 0
10.505 43.843 6 "75" 4.83 43.843 10.505 0
12.567 44.059 8 "76" 5.37 44.07 12.57 1.24640992737259
7.327 44.885 6 "78" 4.83 44.885 7.327 0
